Date,Temperature_C,Irradiance_W/m2,WindSpeed_m/s,Humidity_%,SolarOutput_kWh
2024-01-01,32.483570765056164,458.46292579495855,3.3577873603482833,41.710049890779274,145.8592292858762
2024-01-02,29.308678494144075,557.9354677234641,3.5607845263682343,44.39818959803031,204.34294931597088
2024-01-03,33.23844269050346,565.728548347323,4.083051243175277,57.472936051232615,197.46568388543875
2024-01-04,37.61514928204013,519.7722730778381,4.053802052034903,56.10370265433465,184.77205676843025
2024-01-05,28.829233126383322,583.8714288333991,1.622330632042909,49.79098406035852,218.48463339575812
2024-01-06,28.8293152152541,640.4050856814538,2.062174960084877,51.17327383308782,263.24609184395797
2024-01-07,37.896064077536955,788.618590121053,3.5150352672086598,62.77664895788425,286.67250833736824
2024-01-08,33.837173645764544,617.4577812831839,3.513785950912209,44.0842861116417,250.8995594319684
2024-01-09,27.65262807032524,625.7550390722764,3.515047686306048,55.470973811700375,228.24518822093304
2024-01-10,32.712800217929825,592.5554084233833,6.852731490654721,47.97807347566106,225.41587681516563
2024-01-11,27.682911535937688,408.1228784700959,3.570890510693167,47.8231879677278,146.3172756118108
2024-01-12,27.671351232148716,597.3486124550783,4.135565640180599,60.9877685198719,175.03512599835804
2024-01-13,31.20981135783017,606.0230209941027,3.9540017634932023,58.2541634898803,182.8656083218575
2024-01-14,20.43359877671101,846.3242112485286,3.651391251305798,58.135096360006386,344.8388912507592
2024-01-15,21.375410837434835,580.7639035218878,2.6847307553596544,63.05478807154329,189.55811833680312
2024-01-16,27.188562353795135,630.1547342333613,3.7589692204932676,50.21003841632759,221.67555698112076
2024-01-17,24.93584439832788,596.5288230294757,2.227174785462428,56.81952971294964,241.9162842694687
2024-01-18,31.571236662976368,483.1321962380468,2.763181393259991,46.89733243406544,183.6258739649143
2024-01-19,25.459879622393945,714.2822814515021,2.5146364521708966,53.24166352488442,299.8603945299952
2024-01-20,22.938481493323543,675.1933032686774,3.0818741393863225,48.698569456323156,260.5482338929483
2024-01-21,37.32824384460777,679.1031947043047,5.314658566673509,50.96995964992718,308.24570948348185
2024-01-22,28.871118497567323,509.0612545205261,1.132734807408252,55.95157025436914,215.3773073096986
2024-01-23,30.33764102343962,740.2794310936099,3.6862601903745134,41.81779316766527,308.6000068251798
2024-01-24,22.87625906893272,459.8148937207719,1.3872841288103483,70.9238727568546,134.8690883251112
2024-01-25,27.278086377374088,658.685709380027,2.5280681342105664,39.93982618500298,290.6475102067188
2024-01-26,30.55461294854933,819.0455625809979,4.088950596967366,37.85811387212268,386.56635113488767
2024-01-27,24.245032112888488,500.9463674869312,3.0642800190954627,61.581108735000676,129.0586451357176
2024-01-28,31.87849009172836,543.3702270397227,1.9222552220706939,57.91662693962936,207.77934786781051
2024-01-29,26.996806550405974,609.9651365087641,2.284696290740032,56.24119817052155,242.74039002223947
2024-01-30,28.541531251033618,549.6524345883801,3.679597748934676,56.2834550926428,151.4988255123192
2024-01-31,26.991466938853016,444.93365689338674,2.2696333682828636,49.87753227153085,128.18562721718138
2024-02-01,39.26139092254469,606.8562974806027,3.216458589581975,41.02745628514168,223.39838605072316
2024-02-02,29.93251387631033,493.7696286273895,3.045571839903814,50.75804558193726,169.6514980758755
2024-02-03,24.711445355220498,647.3592430635182,2.348399652394183,43.22838288487888,276.8988706487804
2024-02-04,34.11272456051594,508.0575765766197,5.143944089325325,59.75119733417751,190.02290105602265
2024-02-05,23.895781750144888,754.993440501754,3.633919022318011,48.52942618497861,299.59384100294255
2024-02-06,31.044317975023777,521.6746707663763,0.9748574133423928,41.745028032074885,251.6117801262879
2024-02-07,20.201649380601122,567.7938483794325,3.1864543147694278,46.78614158347007,177.09281435553282
2024-02-08,23.359069755507846,681.351721736967,2.338213535231612,54.12931454275624,221.69711995297155
2024-02-09,30.984306179345616,476.91356835660446,3.852433334796224,44.36275447196025,175.83461385148664
2024-02-10,33.69233289997705,622.7459934604129,2.2074792615672996,41.77779604433569,274.9998166624503
2024-02-11,30.85684140594985,730.7142754282428,2.885263558533101,52.436872114919126,291.6884428386606
2024-02-12,29.421758588058797,439.25167654387724,3.5049872789804573,52.44966571108723,99.98536633615254
2024-02-13,28.494481522053555,618.4633858532304,3.8657551941701214,44.9305682462887,241.00110195601178
2024-02-14,22.607390048162863,625.9882794248424,1.7997035929442238,45.289616943816775,221.23808292221378
2024-02-15,26.400778958026457,678.182287177731,2.6654987641590515,52.32049937357636,274.117270434558
2024-02-16,27.696806145201062,476.3049289121918,2.525054688839044,35.51915658502676,203.3660519815857
2024-02-17,35.285611131094576,467.9543386915724,2.3466707674262883,35.92536225623445,184.52391196628062
2024-02-18,31.71809144784231,652.1941565616897,4.765454240281096,42.81555778747564,253.93849032951766
2024-02-19,21.18479922318633,629.6984673233186,3.4049817109609557,47.86552848288153,212.68619653809193
